week_number,year,question_order,is_hard,location_name,option_a,option_b,option_c,option_d,option_e,correct_option,explanation_text,location_lat,location_lng,location_zoom,wikipedia_urls,satellite_image,site_photo,status,location_name_fr,explanation_text_fr,option_a_fr,option_b_fr,option_c_fr,option_d_fr,option_e_fr,,
16,2026,2,false,Tianducheng Eiffel Tower Replica,Eiffel Tower (Paris),Radio transmission tower,Theme park ride,Eiffel Tower replica China,Construction crane site,d,"That is not Paris — the Eiffel Tower replica and circular garden belong to Tianducheng, a ghost town near Hangzhou built to look like a French city. The abandoned surroundings are the clearest clue something is off.",30.3853,120.2435,16,https://en.wikipedia.org/wiki/Tianducheng,CHN_effeil_30_3852662_120_2435403.jpeg,,,Réplique de la Tour Eiffel de Tianducheng,"Ce n'est pas Paris — la réplique de la Tour Eiffel et le jardin circulaire appartiennent à Tianducheng, une ville fantôme près de Hangzhou construite pour ressembler à une ville française. L'environnement abandonné est l'indice le plus évident.",Tour Eiffel (Paris),Tour de transmission radio,Attraction de parc,Réplique de la Tour Eiffel en Chine,Grue de chantier,,
16,2026,3,false,Al Marmoom Camel Racing Track,Car racing circuit,Airport runway,Vehicle test track,Camel racing track,Cycling velodrome,d,The elongated oval is far too long and narrow for a horse racing track — camel tracks can stretch up to 10 km. The small dark dots on the sand are camels, today their jockeys are remote-controlled robots.,24.9134,55.5017,15,https://en.wikipedia.org/wiki/Al_Marmoom_Camel_Racetrack,SAU_camel_24_913423_55_501727.jpeg,,,Piste de course de chameaux d'Al Marmoom,L'ovale allongé est beaucoup trop long et étroit pour un hippodrome — les pistes de chameaux peuvent s'étendre sur 10 km. Les petits points sombres sur le sable sont des chameaux , leurs jockeys sont aujourd'hui des robots télécommandés.,Circuit automobile,Piste d'aéroport,Piste d'essai,Piste de course de chameaux,Vélodrome cycliste
17,2026,1,false,Kuwait Mushroom Water Towers,Oil refinery tanks,Satellite dishes,Mushroom water towers,Mall skylights,Outdoor market parasols,c,"The circular shapes are the tops of Kuwait's mushroom water towers — each one flares out from a single concrete stem like a giant mushroom cap. Built in the 1970s, they store drinking water for Kuwait City.",29.3296,47.9844,17,https://en.wikipedia.org/wiki/Kuwait_Water_Towers,KUW_water-tower_29_3295764_47_9844342.jpeg,,,Châteaux d'eau champignons du Koweït,"Les formes circulaires sont les sommets des châteaux d'eau champignons du Koweït — chacun s'élargit depuis un fût en béton comme un chapeau de champignon géant. Construits dans les années 1970, ils stockent l'eau potable de Koweït City.",Cuves de raffinerie pétrolière,Antennes satellite,Châteaux d'eau champignons,Verrières de mall,Parasols de marché extérieur,,
17,2026,2,false,Falkirk Wheel Boat Lift Scotland,Rotating boat lift,Oyster farm,Boat storage,Water park,Marine mammal aquarium,a,The circular rotating arm between two water basins at different levels is the Falkirk Wheel — the world's only rotating boat lift. It raises boats 24 metres between two canals using barely more electricity than a kettle.,56.0,-3.8422,17,https://en.wikipedia.org/wiki/Falkirk_Wheel,ENG_lift_boat_55.9996311_-3.8422073.jpeg,,,"Ascenseur à bateaux de Falkirk, Écosse",Le bras rotatif circulaire entre deux bassins à des niveaux différents est la roue de Falkirk — le seul ascenseur à bateaux rotatif au monde. Il élève les bateaux de 24 mètres entre deux canaux en consommant à peine plus qu'une bouilloire.,Ascenseur à bateaux rotatif,Ferme ostréicole,Stockage de bateaux,Parc aquatique,Aquarium de mammifères marins,,
17,2026,3,true,Bahrain Water Storage Tanks,Oil tanks,Gas tanks,Sewage tanks,Water tanks,Circular sports arenas,d,"Three large circular tanks that look like oil storage — but the white domed tops and the residential neighbourhood context rule that out. These are drinking water reservoirs, critical in a country with no natural rivers.",26.2162,50.6180,17,https://en.wikipedia.org/wiki/Bahrain,BAH_water-tank-26_2161839_50_6179906_.jpeg,,,Réservoirs d'eau de Bahreïn,"Trois grandes cuves circulaires qui ressemblent à du stockage de pétrole — mais les dômes blancs et le contexte résidentiel excluent cette hypothèse. Ce sont des réservoirs d'eau potable, essentiels dans un pays sans rivières naturelles.",Cuves de pétrole,Réservoirs de gaz,Bassins d'épuration,Réservoirs d'eau,Arènes sportives circulaires,,
18,2026,1,false,Bahrain Durrat Al Bahrain Residential Islands,Coral reef,Tidal lagoon,Luxury artificial islands,Fish farm,Oil drilling platform,c,The fish- and crescent-shaped islands in the Persian Gulf are entirely man-made. Durrat Al Bahrain was built between 2004 and 2015, the tiny white spikes along the shores are private jetties for each villa.,25.8339,50.6135,14,https://en.wikipedia.org/wiki/Durrat_Al_Bahrain,BAH_residencial_25_833899_50_613459.jpeg,,,Îles résidentielles Durrat Al Bahrain,Les îles en forme de poissons et de croissants dans le golfe Persique sont entièrement artificielles. Durrat Al Bahrain a été construite entre 2004 et 2015 , les petites pointes blanches le long des rives sont les jetées privées de chaque villa.,Récif corallien,Lagune naturelle,Îles artificielles de luxe,Pisciculture marine,Plateforme de forage pétrolier
18,2026,2,false,Brick Train Land Art England,Giant brick train,Rock formation,Bike trail,Ruins,Straw bale field art,a,"The full-size locomotive silhouette in brick-red is unmistakable from above — Brick Train is a land art installation by David Mach (1997) in County Durham, England, built entirely from local red bricks.",54.5235,-1.4981,18,https://en.wikipedia.org/wiki/Brick_Train,ENG_train_brick_54.5235364_-1.4981307.jpeg,,,"Train en briques, Land Art, Angleterre","La silhouette grandeur nature d'une locomotive en brique rouge est reconnaissable depuis le ciel — Brick Train est une installation de David Mach (1997) dans le comté de Durham, entièrement construite en briques rouges locales.",Train géant en briques,Formation rocheuse,Piste cyclable,Ruines,Art avec des balles de foin,,
18,2026,3,true,Abu Dhabi Neighbourhood Mosque,Neighbourhood mosque,School courtyard,Police station,Health clinic,Government admin building,a,"Unlike every building around it which follows the street grid, this small building is rotated at an angle — aligned toward Mecca. That angular offset is the most reliable way to spot a mosque from a satellite image.",24.3484,54.5807,18,https://en.wikipedia.org/wiki/Mosque,BAH_mosquee_24_3484342_54_5806967.jpeg,,,Mosquée de quartier d'Abu Dhabi,"Contrairement à tous les bâtiments voisins qui suivent la grille des rues, ce petit bâtiment est tourné en biais — aligné vers La Mecque. Ce décalage angulaire est le moyen le plus fiable d'identifier une mosquée sur une image satellite.",Mosquée de quartier,Cour d'école,Commissariat,Dispensaire,Bâtiment administratif gouvernemental,,
19,2026,1,false,Abu Dhabi Military Obstacle Course,Stadium,Construction site,Equestrian arena,Military obstacle course,Abandoned fairground,d,"The oval running track is standard — but look inside: scattered obstacles, low walls and climbing frames instead of a sports pitch. That random layout is the signature of a military or police physical training facility.",24.3509,54.5864,17,https://en.wikipedia.org/wiki/Abu_Dhabi,BAH_osbtacles_24_3508809_54_5863567.jpeg,,,Parcours d'obstacles militaires d'Abu Dhabi,"La piste ovale est standard — mais regardez à l'intérieur : des obstacles éparpillés, des murets et des structures d'escalade au lieu d'un terrain de sport. Cette disposition aléatoire est la signature d'un parcours d'entraînement militaire ou policier.",Stade,Chantier,Arène équestre,Parcours d'obstacles militaire,Parc de loisirs abandonné,,
19,2026,2,true,Mohammed bin Rashid Al Maktoum Solar Tower (CSP),Solar farm,Radar antenna receivers,Satellite dishes,CSP solar tower plant,Circular airport runways,d,Thousands of mirrors arranged in a perfect circle all reflect sunlight onto a single tower — the bright glowing spot is visible from space. This CSP plant in Dubai uses that heat to generate steam and produce electricity.,24.7576,55.5011,16,https://en.wikipedia.org/wiki/Mohammed_bin_Rashid_Al_Maktoum_Solar_Park,EAU_solar_24_757620_55_501136.jpeg,,,Tour solaire Mohammed bin Rashid Al Maktoum (CSP),Des milliers de miroirs disposés en cercle parfait concentrent la lumière solaire sur une seule tour — le point lumineux est visible depuis l'espace. Cette centrale CSP à Dubaï utilise cette chaleur pour produire de la vapeur et de l'électricité.,Ferme solaire,Réseau d'antennes radar,Antennes satellite,Tour solaire à concentration (CSP),Pistes d'un aéroport circulaire,,
19,2026,3,false,Phnom Penh Golf Course Cambodia,Nature reserve,Botanical garden,Golf course oasis,Rice paddies,Flooded river delta,c,The vivid green rectangle stands out immediately against the dry brown landscape — only a heavily irrigated golf course looks this uniform and lush. The beige kidney shapes are sand bunkers, the dark patches are water hazards.,13.3684,103.9614,15,https://en.wikipedia.org/wiki/Golf_in_Cambodia,KHM_gulf_13_368421_103_961377.jpeg,,,"Terrain de golf de Phnom Penh, Cambodge",Le rectangle vert vif contraste immédiatement avec le paysage brun et sec — seul un terrain de golf irrigué est aussi uniforme et verdoyant. Les formes beiges sont des bunkers de sable , les taches sombres sont des obstacles d'eau.,Réserve naturelle,Jardin botanique,Terrain de golf tropical,Rizières,Delta fluvial inondé
20,2026,1,false,Uluru (Ayers Rock) Australia,Open-pit mine,Sand dune,Sacred Aboriginal rock formation,Storage depot,Construction levelling site,c,The deep rust-red monolith rising from the flat desert with a long shadow is unmistakable — Uluru in Australia's Northern Territory. Its smooth rounded top and the small car parks and paths visible at its base confirm the identification.,-25.3382,131.0326,15,https://en.wikipedia.org/wiki/Uluru,AUS_Uluru_-25.338223_131.032598.jpeg,,,"Uluru (Ayers Rock), Australie",Le monolithe rouge rouille qui s'élève du désert plat avec une longue ombre est inimitable — Uluru dans le Territoire du Nord australien. Son sommet arrondi et les petits parkings visibles à sa base confirment l'identification.,Mine à ciel ouvert,Dune de sable,Formation rocheuse sacrée aborigène,Dépôt de stockage,Chantier de terrassement,,
20,2026,2,false,Aircraft Storage Hangar Florida USA,Film set,Flight simulator,Giant aircraft hangar,Air museum,Scientific laboratory,c,"The enormous circular footprint — unlike any other building type — belonged to a WWII blimp hangar. Now used for aircraft storage in Florida, it is so large that clouds can form inside when humidity is high.",29.2785,-82.1167,15,https://en.wikipedia.org/wiki/Hangar_One_(NAAF_Tillamook),USA_garage_avion_29.2784718_-82.1167306.jpeg,,,"Hangar de stockage d'avions, Floride, États-Unis","L'empreinte circulaire gigantesque — unique en son genre — appartenait à un hangar de dirigeables de la Seconde Guerre mondiale. Aujourd'hui utilisé pour le stockage d'avions en Floride, il est si grand que des nuages peuvent se former à l'intérieur.",Décor de cinéma,Simulateur de vol,Décor de film hollywoodien,Musée de l'aviation,Laboratoire scientifique,,
20,2026,3,true,Open-Air Cinema in the Egyptian Desert,Open-air cinema,Solar panel array,Rock formation,Roman theatre,Land art installation,a,The curved rows carved into the rocky hillside facing a rectangular wall are seats and a screen — an open-air cinema cut into the Sinai Desert rock. From satellite it barely stands out from the natural stone around it.,-27.9626,34.2540,17,https://en.wikipedia.org/wiki/Drive-in_theater,EGY_cinema-27.9625504_34.2539797.jpeg,,,Cinéma en plein air dans le désert égyptien,"Les rangées incurvées creusées dans le flanc rocheux face à un mur rectangulaire sont des sièges et un écran — un cinéma en plein air taillé dans le roc du Sinaï. Depuis le satellite, il se distingue à peine de la roche naturelle.",Cinéma en plein air,Rangées de panneaux solaires,Formation rocheuse,Théâtre romain,Installation d'art terrestre,,
21,2026,1,false,Mosque in the Sinai Desert Egypt,Factory,Research centre,Desert mosque,Museum,Shopping mall atrium,c,"The building is rotated relative to the street grid — aligned toward Mecca. A rectangular prayer hall, a central dome and a small enclosed courtyard are the classic satellite signatures of a mosque.",27.8670,34.2958,17,https://en.wikipedia.org/wiki/Mosque,EGY_mosque_27.8669767_34.2957537.jpeg,,,"Mosquée dans le désert du Sinaï, Égypte","Le bâtiment est tourné par rapport à la grille des rues — aligné vers La Mecque. Une salle de prière rectangulaire, un dôme central et une petite cour fermée sont les signatures classiques d'une mosquée vue par satellite.",Usine,Centre de recherche,Mosquée désertique,Musée,Atrium de centre commercial,,
21,2026,2,false,Camel Racing Track UAE,Racecourse,Airstrip,Car circuit,Camel racing track,Restricted research facility,d,"Much longer and narrower than a horse racing track, this elongated oval can stretch up to 10 km. The sandy interior and absence of grandstands are key clues — camel racing is a traditional sport of the Arabian Peninsula.",24.0002,51.7962,14,https://en.wikipedia.org/wiki/Camel_racing,EAU_camel_track_24.000246_51.796178.jpeg,,,"Piste de course de chameaux, Émirats arabes unis","Beaucoup plus long et étroit qu'un hippodrome, cet ovale allongé peut s'étendre sur 10 km. L'intérieur sableux et l'absence de tribunes sont des indices clés — la course de chameaux est un sport traditionnel de la péninsule arabique.",Hippodrome,Piste d'aviation,Circuit automobile,Piste de course de chameaux,Site de recherche restreint,,
21,2026,3,true,Waste Treatment Facility Sinai Egypt,Dense urban neighbourhood,Waste treatment facility,Refugee camp,Cemetery,Open-pit mining operation,b,"The irregular plots in varying shades of brown and grey look like a neighbourhood or cemetery — but there are no streets or headstones, only access tracks between decomposing waste. One of the hardest site types to identify from above.",28.0382,34.2619,15,https://en.wikipedia.org/wiki/Landfill,EGY_traitement_dechet_28.038216_34.261904.jpeg,,,"Centre de traitement des déchets, Sinaï, Égypte","Les parcelles irrégulières dans des tons de brun et de gris ressemblent à un quartier ou un cimetière — mais il n'y a ni rues ni pierres tombales, seulement des pistes entre des déchets en décomposition. L'un des types de sites les plus difficiles à identifier.",Quartier urbain dense,Centre de traitement des déchets,Camp de réfugiés,Cimetière,Exploitation minière à ciel ouvert,,
22,2026,1,false,SAM Missile Battery Egypt,Construction site,Paintball field,SAM missile battery,Playground,Land art installation,c,The circular basins with a central pivot arm are the global standard for wastewater treatment — sewage is slowly rotated to separate solids from liquids. Pairs of round tanks next to rectangular buildings are the key pattern.,31.4851,25.8335,16,https://en.wikipedia.org/wiki/Surface-to-air_missile,EGY_SAM_31.4851302_25.8334887.jpeg,,,"Batterie de missiles SAM, Égypte",Les bassins circulaires avec un bras central pivotant sont le standard mondial pour le traitement des eaux usées — les eaux usées sont lentement brassées pour séparer solides et liquides. Des paires de cuves rondes près de bâtiments rectangulaires sont le motif clé.,Chantier,Terrain de paintball,Batterie de missiles sol-air,Aire de jeux,Installation d'art terrestre,,
22,2026,2,false,Nazca Lines Peru,Crop rows,Archaeological site ,Erosion lines,Crop circles,Ancient city foundations,b,"The faint lines etched into the Peruvian desert form animals, plants and geometric shapes — geoglyphs created by the Nazca culture between 500 BCE and 500 CE. They are only fully visible from the air and cover over 450 km².",-14.6941,-75.1144,14,https://en.wikipedia.org/wiki/Nazca_Lines,PER_Nazca_-14.6941037_-75.1143878.jpeg,,,"Lignes de Nazca, Pérou","Les lignes ténues gravées dans le désert péruvien forment des animaux, des plantes et des formes géométriques — des géoglyphes créés par la culture Nazca entre 500 av. J.-C. et 500 apr. J.-C. Visibles uniquement depuis les airs, ils couvrent plus de 450 km².",Rangs de culture,Site archéologique,Lignes d'érosion,Crop circles,Fondations d'une cité antique,,
22,2026,3,true,Taal Volcano Philippines,Dam reservoir,Volcano inside a lake,Flooded mine,Freshwater lake,Digitally altered image,b,"Concentric rings of water and land forming a bull's-eye — a volcanic island inside a crater lake, itself inside a larger ancient caldera. Taal in the Philippines is one of the world's most active volcanoes, last erupting in 2020.",15.1385,120.3560,13,https://en.wikipedia.org/wiki/Taal_Volcano,PHI_Volcan_15.138539_120.355951.jpeg,,,"Volcan Taal, Philippines","Des anneaux concentriques d'eau et de terre formant une cible — une île volcanique dans un lac de cratère, lui-même dans une ancienne caldeira. Le Taal aux Philippines est l'un des volcans les plus actifs au monde, en éruption pour la dernière fois en 2020.",Réservoir de barrage,Volcan dans un lac,Mine inondée,Lac naturel,Image numériquement modifiée,,
23,2026,1,false,Wastewater Treatment Plant Sinai Egypt,Car park,Landfill,Wastewater treatment plant,Shrimp farm,Shopping centre construction,c,The long rectangular rows are electrolysis cells where aluminium is extracted from alumina. The port facility for importing raw materials and the dedicated power station nearby confirm this is one of the world's largest aluminium smelters.,27.9433,34.2984,16,https://en.wikipedia.org/wiki/Sewage_treatment,EGY_traitement_eau_usees_27.943274_34.298355.jpeg,,,"Station d'épuration des eaux usées, Sinaï, Égypte",Les longues rangées rectangulaires sont des cuves d'électrolyse où l'aluminium est extrait de l'alumine. L'installation portuaire pour l'importation des matières premières et la centrale électrique dédiée confirment que c'est l'une des plus grandes fonderies d'aluminium au monde.,Parking,Décharge,Station d'épuration des eaux usées,Élevage de crevettes,Centre commercial en construction,,
23,2026,2,false,Aluminium Smelter Bahrain,Aluminium smelter,Cement factory,Lime production plant,Copper smelter,Grain milling plant,a,The circular star-shaped earthworks are protective berms for missile launchers — each revetment allows the launcher to rotate and fire in any direction. This Cold War Soviet design is instantly recognisable from above.,26.0913,50.5966,14,https://en.wikipedia.org/wiki/Aluminium_Bahrain,QTR_Aluminium_26.091257_50.596554.jpeg,,,Fonderie d'aluminium de Bahreïn,Les terrassements circulaires en forme d'étoile sont des épaulements de protection pour des lanceurs de missiles — chaque revetment permet au lanceur de pivoter et de tirer dans toutes les directions. Ce design soviétique de la Guerre froide est immédiatement reconnaissable depuis le ciel.,Fonderie d'aluminium,Cimenterie,Usine de production de chaux,Fonderie de cuivre,Minoterie,,
23,2026,3,true,LNG Storage Tanks Qatar,Grain silos,LNG storage tanks,Oil tanks,Water towers,Underground ammo bunkers,b,The enormous circular tanks store liquefied natural gas at -162°C. Their perfect round shape and large diameter — up to 80 metres — make them instantly recognisable. Qatar is the world's largest LNG exporter.,25.9015,51.5788,14,https://en.wikipedia.org/wiki/North_Field_(gas_field),QTR_gaz_25.901459_51.578785.jpeg,,,Réservoirs de GNL du Qatar,Les énormes cuves circulaires stockent du gaz naturel liquéfié à -162°C. Leur forme ronde parfaite et leur grand diamètre — jusqu'à 80 mètres — les rendent instantanément reconnaissables. Le Qatar est le plus grand exportateur mondial de GNL.,Silos à céréales,Réservoirs de gaz naturel liquéfié,Cuves de pétrole,Châteaux d'eau,Bunkers de munitions souterrains,,
24,2026,1,false,Bahrain Solar-Shaded Car Park,Solar-shaded car park,Rooftop solar,Aircraft hangars,Desalination plant,Desert greenhouse tunnels,a,"The grid of metal frames looks exactly like solar panels from above — but these are shading canopies over car parks. In the Gulf sun exceeds 45°C; an unshaded car reaches 80°C inside. No solar cells, just shade.",26.2453,50.5865,18,https://en.wikipedia.org/wiki/Bahrain,BAH_parking_26_2453193_50_5864946.jpeg,,,Parking ombragé solaire de Bahreïn,"La grille de structures métalliques ressemble exactement à des panneaux solaires depuis le ciel — mais ce sont des auvents au-dessus de parkings. Dans le Golfe, le soleil dépasse 45°C ; une voiture non ombragée atteint 80°C à l'intérieur. Pas de cellules solaires, juste de l'ombre.",Parking ombragé solaire,Panneaux solaires,Hangars militaires,Usine de dessalement,Serres désertiques,,
24,2026,2,false,Bahrain Fuel Station,Petrol station,Toll plaza,Car wash,Drive-through restaurant,Bus depot inspection line,a,"The rectangular canopy shading the pumps, the wide forecourt and the long queue of cars are the clues. In Bahrain, petrol is so heavily subsidised it costs less than bottled water — hence the queues visible from space.",26.2240,50.5710,18,https://en.wikipedia.org/wiki/Bahrain,BAH_fuel-station_26_2239928_50_5710301.jpeg,,,Station-service de Bahreïn,"L'auvent rectangulaire au-dessus des pompes, le large parvis et la longue file de voitures sont les indices. À Bahreïn, l'essence est tellement subventionnée qu'elle coûte moins cher que l'eau en bouteille — d'où les files visibles depuis l'espace.",Station-service,Péage autoroutier,Station de lavage,Restaurant drive-in,Ligne d'inspection de bus,,
24,2026,3,true,Gas-Fired Power Plant Taiwan,Coastal gas power plant,Coastal hotel,Tech campus,Nuclear power plant,Shopping & entertainment mall,a,Large industrial buildings on the coast with tall exhaust stacks but no reactor domes — the key difference from a nuclear plant. The LNG tanks nearby confirm this is a gas-fired power station on Taiwan's coastline.,25.0275,121.0486,15,https://en.wikipedia.org/wiki/Energy_in_Taiwan,TWN_Usine_electrique_gaz_25.0274649_121.0486283.jpeg,,,Centrale électrique au gaz de Taïwan,De grands bâtiments industriels en bord de mer avec de hautes cheminées mais sans dômes de réacteurs — la différence clé avec une centrale nucléaire. Les réservoirs de GNL à proximité confirment qu'il s'agit d'une centrale au gaz sur la côte de Taïwan.,Centrale électrique au gaz côtière,Hôtel côtier,Campus technologique,Centrale nucléaire,Centre commercial et de divertissement,,
